800 0.192114 0.214699 0.168252
850 0.355876 0.380798 0.330386
900 0.562107 0.586155 0.538301
950 0.748899 0.773971 0.724164
1000 0.873887 0.893062 0.854198
1050 0.941519 0.953336 0.928655
1100 0.973962 0.980407 0.9665
1150 0.988625 0.991912 0.984583
1200 0.995072 0.996685 0.99297
1250 0.997873 0.998646 0.996808
1300 0.999083 0.999448 0.998553
1350 0.999605 0.999775 0.999345
1400 0.99983 0.999908 0.999703
1450 0.999927 0.999963 0.999866
1500 0.999969 0.999985 0.999939
1550 0.999986 0.999994 0.999972
1600 0.999994 0.999997 0.999988
1650 0.999997 0.999999 0.999994
1700 0.999999 1 0.999997
1750 1 1 0.999999
1800 1 1 0.999999
1850 1 1 1
1900 1 1 1
1950 1 1 1
2000 1 1 1
2050 1 1 1
2100 1 1 1
2150 1 1 1
2200 1 1 1
2250 1 1 1
2300 1 1 1
2350 1 1 1
2400 1 1 1
2450 1 1 1
2500 1 1 1
2550 1 1 1
2600 1 1 1
2650 1 1 1
2700 1 1 1
2750 1 1 1
2800 1 1 1
2850 1 1 1
2900 1 1 1
2950 1 1 1
